team,season,mean_innings,mean_drs,mean_uzr,mean_uzr150,mean_def
athletics,2016,266.52558139534887,-3.2880739228312654,-2.5107381211280813,-3.9856475893097634,-3.8092088179038632
athletics,2017,301.15263157894736,-2.8962407591883816,-1.7155679832226494,-4.218718729714885,0.3124944084097517
athletics,2018,434.1074074074074,4.487931814109838,5.03798668057763,4.1139766178807875,8.104638274638274
athletics,2019,334.75714285714287,5.178764989544659,4.052549793788237,4.36263364672309,5.835576739231379
blue_jays,1998,344.2352941176471,NA,NA,NA,NA
blue_jays,1999,302.83684210526314,NA,NA,NA,NA
blue_jays,2000,410.55,NA,NA,NA,NA
blue_jays,2001,389.89666666666665,NA,NA,NA,NA
blue_jays,2002,371.0322580645161,NA,0.4055491524750114,0.7789797905530276,1.036628456958433
blue_jays,2003,358.6625,-2.4662984003066946,-6.4629840966350995,-8.96047361555084,-3.3763568431178457
